entity_id,entity_type,fiware_servicepath,irms1,pap1,time_index,vrms1
wibee-14004-01,Energy,/rabanales,1.22,275.8,1573882662000,226.28
wibee-14004-01,Energy,/rabanales,1.22,275.9,1573894966000,226.21
wibee-14004-01,Energy,/rabanales,7.25,1654.28,1573913272000,228.26
wibee-14004-01,Energy,/rabanales,1.69,384.19,1573904869000,227.86
wibee-14004-01,Energy,/rabanales,1.71,389.29,1573905770000,227.86
wibee-14004-01,Energy,/rabanales,1.69,386.51,1573906670000,228.25
wibee-14004-01,Energy,/rabanales,0.84,191.28,1573912372000,228.96
wibee-14004-01,Energy,/rabanales,7.18,1635.6,1573914472000,227.81
wibee-14004-01,Energy,/rabanales,1.71,390.3,1573905470000,227.63
wibee-14004-01,Energy,/rabanales,1.21,276.66,1573908170000,228.08
wibee-14004-01,Energy,/rabanales,1.26,288.6,1573907270000,228.38
wibee-14004-01,Energy,/rabanales,8.36,1890.21,1573928877000,226.05
